id,tag,building\.id,building\.name
1567283,M-1,213240,Atkinson Middle School (AMS)
1567284,M-2,213240,Atkinson Middle School (AMS)
1567285,M-3,213240,Atkinson Middle School (AMS)
1567286,M-4,213240,Atkinson Middle School (AMS)
1567287,M-5,213240,Atkinson Middle School (AMS)
1567288,M-6,213240,Atkinson Middle School (AMS)
1567289,M-7,213240,Atkinson Middle School (AMS)
1567290,M-8,213240,Atkinson Middle School (AMS)
1567291,M-9,213240,Atkinson Middle School (AMS)
1567292,M-10,213240,Atkinson Middle School (AMS)
1567293,M-11,213240,Atkinson Middle School (AMS)
1567294,M-12,213240,Atkinson Middle School (AMS)
1567295,M-13,213240,Atkinson Middle School (AMS)
1567296,M-14,213240,Atkinson Middle School (AMS)
1567297,M-15,213240,Atkinson Middle School (AMS)
1567298,M-16,213240,Atkinson Middle School (AMS)
1567299,M-17,213240,Atkinson Middle School (AMS)
1567300,M-18,213240,Atkinson Middle School (AMS)
1567301,M-19,213240,Atkinson Middle School (AMS)
1567302,M-20,213240,Atkinson Middle School (AMS)
1567303,M-21,213240,Atkinson Middle School (AMS)
1567304,M-22,213240,Atkinson Middle School (AMS)
1567305,M-23,213240,Atkinson Middle School (AMS)
1567306,M-24,213240,Atkinson Middle School (AMS)
1567307,M-25,213240,Atkinson Middle School (AMS)
1567308,M-26,213240,Atkinson Middle School (AMS)
1567309,M-27,213240,Atkinson Middle School (AMS)
1567310,M-28,213240,Atkinson Middle School (AMS)
1567311,M-29,213240,Atkinson Middle School (AMS)
1567312,M-30,213240,Atkinson Middle School (AMS)
1567313,M-31,213240,Atkinson Middle School (AMS)
1567314,M-32,213240,Atkinson Middle School (AMS)
1567315,M-33,213240,Atkinson Middle School (AMS)
1567316,M-34,213240,Atkinson Middle School (AMS)
1567317,M-35,213240,Atkinson Middle School (AMS)
1567318,M-36,213240,Atkinson Middle School (AMS)
1567319,M-37,213240,Atkinson Middle School (AMS)
1567320,M-38,213240,Atkinson Middle School (AMS)
1567321,M-39,213240,Atkinson Middle School (AMS)
1567322,M-40,213240,Atkinson Middle School (AMS)
1567323,M-41,213240,Atkinson Middle School (AMS)
1567324,M-42,213240,Atkinson Middle School (AMS)
1567325,M-43,213240,Atkinson Middle School (AMS)
1567326,M-44,213240,Atkinson Middle School (AMS)
1567327,M-45,213240,Atkinson Middle School (AMS)
1567328,M-46,213240,Atkinson Middle School (AMS)
1567329,M-47,213240,Atkinson Middle School (AMS)
